Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
West,Rajasthan,ODGEN,2023-08,212,578,36.68,84.24,80.96,1.62,176
MMZO Zone,Punjab,TLP12,2023-04,230,398,57.79,64.53,53.24,1.06,135
East,Odisha,TLP12,2023-12,495,770,64.29,80.26,56.75,1.14,70
Central,Delhi,TL009,2023-03,249,364,68.41,93.14,72.79,1.46,126
Central,Rajasthan,CCMUD,2023-11,435,508,85.63,70.79,40.23,0.8,408
East,West Bengal,UKKGL,2023-04,49,205,23.9,28.17,24.21,0.48,15
South,West Bengal,CCSUV,2023-09,426,724,58.84,38.55,22.56,0.45,271
West,Bihar,ODGEN,2023-02,206,633,32.54,87.63,62.05,1.24,132
North,Haryana,UMGLP,2023-04,54,514,10.51,32.21,17.98,0.36,29
North,West Bengal,CCMUD,2023-08,425,561,75.76,15.17,10.75,0.21,312
MMZO Zone,Unknown,TLP12,2023-07,169,312,54.17,5.8,3.91,0.08,41
South,Haryana,TLU03,2023-09,350,498,70.28,82.53,73.61,1.47,0
East,West Bengal,TLU03,2023-03,259,579,44.73,4.84,2.7,0.05,71
Hyderabad,Punjab,UMGLP,2023-12,166,302,54.97,92.37,46.25,0.93,34
West,Bihar,LADEP,2023-06,366,645,56.74,22.8,19.74,0.39,183
East,Haryana,UMGLP,2023-12,249,265,93.96,18.52,17.09,0.34,59
Central,Haryana,ODGEN,2023-03,499,760,65.66,51.64,37.15,0.74,392
Pune Zone,Rajasthan,UMGLP,2023-04,306,520,58.85,12.97,7.4,0.15,245
MMZO Zone,Bihar,VL001,2023-01,474,859,55.18,8.59,8.14,0.16,72
Pune Zone,Delhi,TLP12,2023-07,321,741,43.32,93.51,63.81,1.28,9
North,Haryana,ODGEN,2023-12,399,778,51.29,79.18,70.09,1.4,50
South,West Bengal,CCMUD,2023-03,33,436,7.57,30.05,29.93,0.6,28
Central,Delhi,UMGLP,2023-11,472,829,56.94,97.22,54.12,1.08,293
Hyderabad,Punjab,TLP12,2023-03,166,246,67.48,7.29,4.91,0.1,103
North,Rajasthan,TLU03,2023-08,372,451,82.48,28.45,16.16,0.32,249
South,Unknown,CCGEN,2023-01,329,773,42.56,97.16,91.6,1.83,295
East,Delhi,CCSUV,2023-02,120,247,48.58,58.88,56.04,1.12,22
Pune Zone,West Bengal,UMGLP,2023-12,213,371,57.41,88.72,59.62,1.19,44
East,Bihar,TLU03,2023-09,469,881,53.23,91.47,69.89,1.4,59
Central,West Bengal,CCSUV,2023-11,360,402,89.55,11.83,8.32,0.17,273
Central,Bihar,UKKGL,2023-02,350,750,46.67,71.56,57.0,1.14,313
East,Odisha,ODGEN,2023-11,105,561,18.72,74.04,69.19,1.38,28
West,Punjab,VL001,2023-11,40,529,7.56,91.82,79.18,1.58,1
Central,Unknown,CHOME,2023-03,473,506,93.48,91.44,81.48,1.63,165
Central,Odisha,TLU03,2023-09,450,946,47.57,37.15,19.27,0.39,255
South,Punjab,TL009,2023-10,66,257,25.68,76.99,74.88,1.5,42
Pune Zone,Unknown,TLP12,2023-02,107,550,19.45,60.84,57.14,1.14,70
MMZO Zone,Haryana,CCGEN,2023-11,415,657,63.17,38.49,19.9,0.4,299
South,Odisha,CHOME,2023-02,152,464,32.76,1.67,1.51,0.03,86
North,Delhi,CCGEN,2023-09,294,435,67.59,69.47,56.72,1.13,225
East,Jharkhand,CCGEN,2023-10,238,712,33.43,94.12,60.09,1.2,173
Central,West Bengal,TLU03,2023-04,269,728,36.95,55.47,45.04,0.9,111
East,Bihar,VL001,2023-09,131,605,21.65,82.78,66.48,1.33,35
Pune Zone,Haryana,LADEP,2023-04,358,558,64.16,71.74,42.45,0.85,210
Pune Zone,Delhi,UKKGL,2023-05,78,489,15.95,71.92,55.96,1.12,23
Central,Haryana,VL001,2023-09,44,517,8.51,39.82,38.93,0.78,28
South,Haryana,TL009,2023-12,216,312,69.23,3.76,3.51,0.07,73
Pune Zone,Jharkhand,CCSUV,2023-11,83,160,51.88,67.2,59.36,1.19,27
South,Rajasthan,TLU03,2023-05,487,808,60.27,58.37,54.74,1.09,314
North,Unknown,LADEP,2023-04,300,421,71.26,61.22,46.63,0.93,51
North,Jharkhand,TLP12,2023-02,407,438,92.92,4.51,3.57,0.07,321
Pune Zone,Bihar,VL001,2023-10,192,326,58.9,85.75,49.11,0.98,37
MMZO Zone,Rajasthan,CCGEN,2023-09,99,365,27.12,81.42,47.87,0.96,31
Central,Odisha,UMGLP,2023-07,122,504,24.21,45.41,27.17,0.54,84
Central,Rajasthan,CCMUD,2023-01,459,705,65.11,15.25,8.47,0.17,227
Pune Zone,Bihar,LADEP,2023-02,367,717,51.19,85.27,43.86,0.88,80
West,Punjab,CCGEN,2023-11,419,645,64.96,23.25,17.01,0.34,210
East,Haryana,UKKGL,2023-06,52,527,9.87,95.82,83.29,1.67,26
North,Delhi,TLP12,2023-07,180,447,40.27,70.15,43.67,0.87,108
Pune Zone,Punjab,ODGEN,2023-12,351,592,59.29,30.46,27.82,0.56,24
West,Haryana,CCMUD,2023-12,379,548,69.16,61.91,31.86,0.64,218
West,Odisha,VL001,2023-05,392,543,72.19,95.74,68.64,1.37,114
South,Delhi,LADEP,2023-02,446,475,93.89,35.45,24.25,0.48,194
West,Jharkhand,CCMUD,2023-08,296,421,70.31,50.79,43.37,0.87,17
Pune Zone,Rajasthan,VL001,2023-12,20,375,5.33,7.76,7.04,0.14,5
Central,Rajasthan,TL009,2023-10,329,378,87.04,23.97,18.39,0.37,298
South,Punjab,UKKGL,2023-01,314,514,61.09,43.13,34.6,0.69,65
West,Bihar,TL009,2023-03,120,608,19.74,10.1,5.74,0.11,12
South,Jharkhand,CCGEN,2023-12,422,707,59.69,37.77,19.54,0.39,278
Hyderabad,Unknown,CHOME,2023-04,409,668,61.23,92.7,91.67,1.83,73
East,West Bengal,CCGEN,2023-03,230,560,41.07,42.22,36.5,0.73,224
MMZO Zone,Jharkhand,UMGLP,2023-06,88,116,75.86,58.88,40.52,0.81,70
North,Delhi,CCGEN,2023-09,101,301,33.55,68.43,54.6,1.09,46
West,Unknown,VL001,2023-07,88,261,33.72,23.93,14.43,0.29,73
West,Unknown,TLP12,2023-08,475,739,64.28,32.88,19.39,0.39,45
East,Jharkhand,TLP12,2023-07,416,606,68.65,81.79,40.9,0.82,307
East,Unknown,UKKGL,2023-11,407,475,85.68,37.32,24.97,0.5,4
South,Delhi,TLP12,2023-03,22,391,5.63,35.69,33.61,0.67,11
MMZO Zone,Jharkhand,CCGEN,2023-08,54,280,19.29,69.41,48.81,0.98,38
West,West Bengal,UKKGL,2023-06,116,125,92.8,15.28,11.57,0.23,77
West,West Bengal,CCSUV,2023-09,6,26,23.08,79.26,40.66,0.81,1
Central,Unknown,UMGLP,2023-12,472,769,61.38,91.28,61.46,1.23,311
Pune Zone,Punjab,CHOME,2023-01,456,852,53.52,2.35,2.17,0.04,301
East,Haryana,CCSUV,2023-09,450,554,81.23,66.12,59.04,1.18,132
East,West Bengal,UKKGL,2023-06,163,178,91.57,97.27,78.72,1.57,129
Hyderabad,Bihar,TLU03,2023-09,81,183,44.26,85.46,84.17,1.68,44
West,Unknown,CHOME,2023-11,495,806,61.41,73.49,40.54,0.81,56
Central,Jharkhand,ODGEN,2023-12,72,505,14.26,71.23,39.03,0.78,27
South,Bihar,CCGEN,2023-01,318,638,49.84,69.06,69.01,1.38,289
MMZO Zone,Punjab,CHOME,2023-07,478,613,77.98,33.58,19.74,0.39,116
South,West Bengal,TL009,2023-10,269,397,67.76,5.37,4.84,0.1,223
MMZO Zone,Rajasthan,UKKGL,2023-11,110,291,37.8,86.7,60.96,1.22,46
MMZO Zone,Bihar,LADEP,2023-10,293,771,38.0,76.43,38.87,0.78,68
South,Delhi,TL009,2023-07,18,174,10.34,27.08,22.51,0.45,15
North,Unknown,ODGEN,2023-04,409,697,58.68,38.22,31.84,0.64,178
Hyderabad,Odisha,ODGEN,2023-05,467,489,95.5,74.67,46.1,0.92,293
East,Rajasthan,CCMUD,2023-08,343,580,59.14,28.39,25.01,0.5,248
Hyderabad,Unknown,VL001,2023-06,493,684,72.08,91.94,84.38,1.69,321
Hyderabad,Punjab,UKKGL,2023-08,434,921,47.12,18.92,11.5,0.23,403
MMZO Zone,Delhi,TL009,2023-06,231,619,37.32,51.93,29.91,0.6,222
Hyderabad,Rajasthan,UKKGL,2023-03,161,399,40.35,69.14,45.36,0.91,30
Pune Zone,Punjab,UMGLP,2023-01,33,343,9.62,97.0,93.34,1.87,17
North,Haryana,UKKGL,2023-09,205,320,64.06,85.13,54.28,1.09,74
South,Bihar,CCMUD,2023-11,297,496,59.88,54.88,54.03,1.08,4
West,Rajasthan,TLP12,2023-08,49,247,19.84,17.5,15.48,0.31,11
Hyderabad,Delhi,CCGEN,2023-06,5,264,1.89,19.59,18.08,0.36,1
West,Rajasthan,CCSUV,2023-09,111,381,29.13,95.91,48.46,0.97,40
Pune Zone,Jharkhand,UMGLP,2023-04,146,543,26.89,75.84,44.64,0.89,140
West,West Bengal,CCSUV,2023-08,5,441,1.13,7.22,3.61,0.07,5
West,Jharkhand,TLP12,2023-05,158,646,24.46,97.35,74.35,1.49,105
South,Delhi,UMGLP,2023-08,429,557,77.02,73.4,42.53,0.85,121
Hyderabad,Unknown,UMGLP,2023-12,195,372,52.42,30.0,19.56,0.39,15
West,Bihar,TL009,2023-02,52,519,10.02,53.48,44.74,0.89,49
West,Jharkhand,VL001,2023-06,85,563,15.1,61.56,39.35,0.79,81
North,Bihar,TL009,2023-03,270,298,90.6,62.6,42.49,0.85,265
Pune Zone,Jharkhand,UKKGL,2023-05,317,526,60.27,79.33,68.98,1.38,190
South,Unknown,CCSUV,2023-10,114,285,40.0,46.91,25.35,0.51,23
South,Rajasthan,TLP12,2023-06,151,357,42.3,61.75,48.95,0.98,133
East,Punjab,VL001,2023-05,154,229,67.25,44.69,36.02,0.72,75
West,West Bengal,TLU03,2023-06,198,548,36.13,59.11,39.98,0.8,23
North,Haryana,CCGEN,2023-04,345,559,61.72,63.18,49.47,0.99,329
Pune Zone,Delhi,CCGEN,2023-02,377,850,44.35,44.25,25.75,0.52,302
MMZO Zone,Jharkhand,CCSUV,2023-05,335,631,53.09,94.54,80.88,1.62,82
MMZO Zone,Punjab,CHOME,2023-04,4,492,0.81,5.75,4.1,0.08,3
West,West Bengal,CCMUD,2023-10,389,518,75.1,47.4,28.97,0.58,242
South,Delhi,CHOME,2023-03,303,653,46.4,19.18,15.37,0.31,17
North,Punjab,VL001,2023-05,385,799,48.19,95.85,65.18,1.3,330
East,Odisha,CHOME,2023-10,276,569,48.51,44.4,32.33,0.65,153
North,West Bengal,TLP12,2023-04,263,343,76.68,33.55,24.13,0.48,218
West,Punjab,TLP12,2023-10,467,820,56.95,59.85,34.61,0.69,445
Central,Haryana,CHOME,2023-12,24,391,6.14,94.18,69.31,1.39,19
South,West Bengal,TLU03,2023-05,437,828,52.78,2.87,1.8,0.04,384
Hyderabad,Punjab,CHOME,2023-09,28,488,5.74,14.77,10.71,0.21,1
MMZO Zone,Jharkhand,LADEP,2023-09,500,614,81.43,20.99,15.01,0.3,102
MMZO Zone,Unknown,TL009,2023-05,246,541,45.47,27.57,14.75,0.29,36
East,Rajasthan,ODGEN,2023-01,491,630,77.94,79.0,59.69,1.19,311
South,Delhi,CCSUV,2023-05,447,715,62.52,56.86,34.59,0.69,179
Hyderabad,Delhi,CCSUV,2023-02,119,308,38.64,61.87,51.07,1.02,51
West,Bihar,CCGEN,2023-08,384,821,46.77,12.81,10.31,0.21,327
Hyderabad,Unknown,VL001,2023-11,499,739,67.52,7.98,7.56,0.15,357
East,Bihar,TL009,2023-03,397,693,57.29,24.01,19.24,0.38,54
East,Bihar,UMGLP,2023-04,434,780,55.64,65.58,43.27,0.87,365
North,Bihar,UMGLP,2023-05,32,134,23.88,83.57,66.56,1.33,30
East,Rajasthan,CCMUD,2023-06,116,399,29.07,12.8,10.9,0.22,38
South,West Bengal,CCGEN,2023-01,441,700,63.0,72.45,50.84,1.02,96
West,Haryana,VL001,2023-04,22,139,15.83,22.26,13.54,0.27,10
Pune Zone,Jharkhand,CCSUV,2023-09,135,273,49.45,20.68,19.23,0.38,8
MMZO Zone,Jharkhand,ODGEN,2023-07,29,36,80.56,24.5,15.8,0.32,18
Central,Delhi,UMGLP,2023-12,482,545,88.44,55.82,46.4,0.93,363
Pune Zone,Rajasthan,TLU03,2023-12,376,828,45.41,60.54,52.34,1.05,168
Central,West Bengal,CCGEN,2023-08,210,644,32.61,16.0,12.61,0.25,78
Central,Jharkhand,UKKGL,2023-12,453,471,96.18,47.92,45.93,0.92,62
West,Delhi,CCGEN,2023-07,285,427,66.74,40.72,35.39,0.71,247
East,Haryana,TLP12,2023-05,10,497,2.01,58.56,50.73,1.01,9
MMZO Zone,Punjab,TLP12,2023-09,24,351,6.84,31.86,29.48,0.59,2
Hyderabad,Punjab,ODGEN,2023-06,477,844,56.52,28.32,14.6,0.29,36
Hyderabad,Punjab,CCSUV,2023-04,335,804,41.67,63.57,33.08,0.66,172
Central,Delhi,UMGLP,2023-05,161,489,32.92,79.18,72.77,1.46,152
South,Delhi,ODGEN,2023-07,325,393,82.7,98.27,62.28,1.25,297
Central,Odisha,UKKGL,2023-05,128,389,32.9,9.21,7.47,0.15,21
North,Jharkhand,UKKGL,2023-06,474,868,54.61,26.9,16.1,0.32,463
Hyderabad,Unknown,VL001,2023-10,269,614,43.81,19.82,14.4,0.29,61
East,Odisha,CCMUD,2023-05,208,585,35.56,18.7,14.67,0.29,164
East,Rajasthan,UKKGL,2023-06,67,135,49.63,59.81,32.2,0.64,16
Central,West Bengal,ODGEN,2023-08,479,868,55.18,40.12,36.98,0.74,265
Central,Unknown,UMGLP,2023-09,178,404,44.06,91.04,78.11,1.56,25
North,Punjab,CCMUD,2023-12,406,455,89.23,67.91,45.92,0.92,350
West,Jharkhand,CHOME,2023-12,413,481,85.86,22.37,11.89,0.24,107
Hyderabad,Odisha,CCSUV,2023-06,429,618,69.42,80.79,43.49,0.87,295
Central,Unknown,CHOME,2023-07,249,685,36.35,28.8,28.66,0.57,32
Hyderabad,Haryana,VL001,2023-02,356,378,94.18,23.4,14.75,0.29,74
Central,West Bengal,CCSUV,2023-12,315,757,41.61,9.6,4.94,0.1,303
Pune Zone,Bihar,LADEP,2023-03,419,605,69.26,32.58,32.12,0.64,31
MMZO Zone,West Bengal,UKKGL,2023-07,407,629,64.71,1.29,0.7,0.01,375
Hyderabad,Unknown,CCMUD,2023-08,54,251,21.51,38.61,21.85,0.44,47
Pune Zone,Rajasthan,CCMUD,2023-01,497,888,55.97,54.04,33.89,0.68,343
East,Bihar,CCMUD,2023-10,275,470,58.51,10.8,9.83,0.2,210
West,Odisha,CCGEN,2023-03,231,266,86.84,94.11,57.39,1.15,34
East,Jharkhand,VL001,2023-09,328,441,74.38,56.55,30.29,0.61,137
Pune Zone,Jharkhand,LADEP,2023-02,189,189,100.0,54.84,33.11,0.66,13
East,Punjab,CCSUV,2023-06,59,539,10.95,57.26,30.11,0.6,56
Central,Delhi,LADEP,2023-12,274,428,64.02,89.5,72.57,1.45,115
South,Rajasthan,UMGLP,2023-02,236,633,37.28,79.94,66.48,1.33,158
Hyderabad,Punjab,VL001,2023-04,56,533,10.51,57.0,29.91,0.6,46
East,Bihar,UKKGL,2023-12,181,444,40.77,16.49,11.23,0.22,83
East,Odisha,ODGEN,2023-12,446,823,54.19,28.3,14.24,0.28,379
South,Rajasthan,TL009,2023-01,263,326,80.67,99.35,97.24,1.94,177
Hyderabad,Delhi,CCGEN,2023-08,44,425,10.35,99.89,99.03,1.98,41
South,Haryana,LADEP,2023-08,73,473,15.43,43.3,28.32,0.57,35
MMZO Zone,Rajasthan,CHOME,2023-06,454,530,85.66,77.65,54.58,1.09,391
West,Haryana,TLU03,2023-09,290,435,66.67,55.92,29.93,0.6,37
Hyderabad,Jharkhand,TLP12,2023-11,264,760,34.74,74.08,56.65,1.13,36
MMZO Zone,Jharkhand,CCMUD,2023-01,195,359,54.32,74.74,54.3,1.09,54
North,Punjab,TL009,2023-03,439,562,78.11,58.71,54.11,1.08,125
South,Odisha,VL001,2023-10,342,433,78.98,37.52,33.74,0.67,220
MMZO Zone,Odisha,CCGEN,2023-05,444,501,88.62,33.23,20.18,0.4,237
Central,Unknown,TLP12,2023-07,57,518,11.0,4.66,3.97,0.08,29
South,Odisha,CHOME,2023-09,395,803,49.19,48.53,47.97,0.96,293
North,Rajasthan,TL009,2023-03,288,370,77.84,73.25,37.16,0.74,270
East,Punjab,TL009,2023-04,156,159,98.11,63.08,51.65,1.03,78
West,West Bengal,CHOME,2023-08,320,653,49.0,55.23,37.94,0.76,243
Pune Zone,Odisha,UMGLP,2023-11,449,724,62.02,34.12,24.26,0.49,272
Hyderabad,Unknown,VL001,2023-12,133,536,24.81,9.87,8.19,0.16,41
Central,Odisha,UMGLP,2023-11,389,755,51.52,85.91,71.95,1.44,347
East,Delhi,TLP12,2023-06,144,502,28.69,77.58,65.03,1.3,93
Pune Zone,Bihar,CCMUD,2023-08,137,410,33.41,71.8,38.24,0.76,59
Central,Rajasthan,CCMUD,2023-09,498,653,76.26,93.16,62.7,1.25,131
Hyderabad,Unknown,ODGEN,2023-01,359,565,63.54,63.67,46.6,0.93,130
West,Unknown,LADEP,2023-03,151,619,24.39,73.44,47.21,0.94,37
West,Delhi,TLP12,2023-05,110,387,28.42,35.27,21.64,0.43,108
North,Punjab,CCSUV,2023-10,53,274,19.34,83.72,73.04,1.46,5
Central,Haryana,CCGEN,2023-12,24,27,88.89,91.71,54.06,1.08,24
East,Odisha,CCGEN,2023-02,83,529,15.69,37.39,32.25,0.65,61
MMZO Zone,Rajasthan,UKKGL,2023-06,9,357,2.52,38.87,22.41,0.45,8
Central,Haryana,CCSUV,2023-03,110,268,41.04,12.73,7.15,0.14,74
South,Haryana,CHOME,2023-02,71,523,13.58,18.77,10.34,0.21,71
East,Haryana,ODGEN,2023-02,482,565,85.31,57.88,47.13,0.94,150
North,Bihar,CCMUD,2023-03,34,419,8.11,39.9,34.64,0.69,32
North,Delhi,VL001,2023-10,6,460,1.3,61.15,57.07,1.14,3
East,Delhi,CCMUD,2023-02,35,132,26.52,85.56,77.8,1.56,35
East,Unknown,TL009,2023-08,196,382,51.31,24.33,19.45,0.39,8
West,Delhi,LADEP,2023-11,331,338,97.93,9.26,4.71,0.09,51
Central,West Bengal,UMGLP,2023-09,472,637,74.1,7.86,4.67,0.09,215
MMZO Zone,Unknown,TLP12,2023-02,482,799,60.33,9.25,8.67,0.17,303
Pune Zone,Unknown,LADEP,2023-09,477,963,49.53,46.41,34.75,0.7,145
West,Bihar,UKKGL,2023-10,286,631,45.32,23.27,16.08,0.32,196
West,Punjab,UMGLP,2023-01,359,629,57.07,22.37,19.45,0.39,116
West,Unknown,VL001,2023-01,217,273,79.49,98.11,55.87,1.12,19
West,Haryana,VL001,2023-06,114,578,19.72,60.66,57.97,1.16,108
East,Bihar,CCMUD,2023-05,116,324,35.8,51.25,28.16,0.56,20
South,Rajasthan,TLP12,2023-12,379,463,81.86,27.76,27.57,0.55,348
Hyderabad,Haryana,TLP12,2023-12,311,413,75.3,97.82,95.64,1.91,40
Hyderabad,Jharkhand,UMGLP,2023-04,394,711,55.41,23.32,18.04,0.36,122
East,Bihar,TLU03,2023-03,324,593,54.64,60.13,50.57,1.01,63
Central,Unknown,CCGEN,2023-01,374,608,61.51,93.85,92.74,1.85,119
Hyderabad,West Bengal,ODGEN,2023-07,461,884,52.15,53.74,41.52,0.83,248
South,Jharkhand,LADEP,2023-12,43,50,86.0,98.01,71.71,1.43,37
West,Delhi,CCSUV,2023-10,314,590,53.22,2.07,1.71,0.03,250
West,Haryana,TLP12,2023-10,339,557,60.86,82.58,77.63,1.55,134
Central,West Bengal,VL001,2023-05,459,699,65.67,33.56,24.63,0.49,217
Central,West Bengal,ODGEN,2023-01,27,403,6.7,5.33,3.39,0.07,9
South,Jharkhand,CCMUD,2023-01,90,324,27.78,77.98,71.88,1.44,80
South,Jharkhand,CCMUD,2023-10,153,302,50.66,70.67,47.43,0.95,3
Central,West Bengal,TLP12,2023-10,176,439,40.09,64.92,52.72,1.05,158
West,West Bengal,CHOME,2023-01,304,351,86.61,2.97,1.63,0.03,76
Pune Zone,Haryana,LADEP,2023-06,191,342,55.85,24.42,22.08,0.44,138
MMZO Zone,Delhi,LADEP,2023-12,58,423,13.71,89.68,77.72,1.55,9
Pune Zone,Rajasthan,TLP12,2023-04,207,569,36.38,3.59,1.9,0.04,165
MMZO Zone,Bihar,ODGEN,2023-02,358,715,50.07,31.54,22.98,0.46,56
West,Jharkhand,UMGLP,2023-06,72,118,61.02,25.34,16.11,0.32,40
East,West Bengal,UKKGL,2023-06,357,627,56.94,60.71,35.76,0.72,46
North,Delhi,TLU03,2023-06,343,414,82.85,29.32,28.07,0.56,37
MMZO Zone,Unknown,LADEP,2023-09,437,787,55.53,9.62,5.2,0.1,28
East,Odisha,ODGEN,2023-01,333,553,60.22,51.85,46.23,0.92,29
Central,Odisha,ODGEN,2023-09,325,774,41.99,86.63,84.31,1.69,260
Pune Zone,Delhi,UMGLP,2023-02,376,690,54.49,75.9,49.06,0.98,68
South,Bihar,TL009,2023-10,303,351,86.32,24.67,21.23,0.42,273
West,Rajasthan,VL001,2023-09,106,240,44.17,35.7,31.12,0.62,72
East,Bihar,CCMUD,2023-02,453,587,77.17,88.93,52.29,1.05,13
Hyderabad,Odisha,CHOME,2023-04,176,515,34.17,78.35,63.39,1.27,116
Hyderabad,Unknown,CCMUD,2023-03,406,586,69.28,91.07,78.65,1.57,207
MMZO Zone,Jharkhand,UMGLP,2023-08,358,625,57.28,27.79,14.39,0.29,257
North,Unknown,TLU03,2023-12,200,507,39.45,26.94,16.15,0.32,50
Central,Rajasthan,TLP12,2023-12,3,9,33.33,73.38,45.65,0.91,3
Central,Jharkhand,CCMUD,2023-12,398,448,88.84,66.0,37.67,0.75,285
South,Haryana,CCSUV,2023-12,450,891,50.51,51.14,39.71,0.79,284
South,Haryana,TL009,2023-02,249,402,61.94,22.44,18.64,0.37,180
West,Rajasthan,CCSUV,2023-04,347,760,45.66,37.39,25.9,0.52,182
MMZO Zone,Unknown,ODGEN,2023-01,315,465,67.74,34.15,30.33,0.61,270
West,Rajasthan,VL001,2023-03,141,298,47.32,11.25,6.51,0.13,97
Pune Zone,Punjab,ODGEN,2023-10,215,430,50.0,79.59,68.74,1.37,45
West,Delhi,CHOME,2023-02,347,516,67.25,31.79,24.97,0.5,89
South,Odisha,UKKGL,2023-03,92,239,38.49,70.07,59.0,1.18,10
Pune Zone,West Bengal,TL009,2023-09,497,597,83.25,29.78,19.55,0.39,131
West,Odisha,CHOME,2023-05,173,360,48.06,87.9,85.16,1.7,104
North,Odisha,CCMUD,2023-10,140,323,43.34,15.7,10.48,0.21,45
MMZO Zone,Delhi,CCGEN,2023-07,179,189,94.71,90.64,50.7,1.01,66
East,Jharkhand,CHOME,2023-01,401,753,53.25,53.99,43.73,0.87,54
Central,Bihar,CCSUV,2023-09,308,762,40.42,80.19,71.69,1.43,276
East,West Bengal,UKKGL,2023-05,131,502,26.1,2.41,2.14,0.04,95
South,Odisha,TLP12,2023-07,30,434,6.91,86.34,46.03,0.92,28
MMZO Zone,Bihar,LADEP,2023-01,65,375,17.33,38.38,21.33,0.43,57
MMZO Zone,West Bengal,VL001,2023-06,136,523,26.0,37.34,20.55,0.41,94
West,Unknown,VL001,2023-12,128,339,37.76,94.34,66.67,1.33,100
Central,Punjab,CHOME,2023-03,218,686,31.78,67.87,56.64,1.13,183
West,Odisha,CHOME,2023-06,188,426,44.13,13.11,6.98,0.14,26
West,Punjab,TL009,2023-05,70,386,18.13,78.89,57.76,1.16,31
East,Jharkhand,CHOME,2023-02,412,603,68.33,20.84,10.47,0.21,276
North,Jharkhand,VL001,2023-04,327,782,41.82,60.72,48.41,0.97,102
Central,Odisha,TL009,2023-08,293,302,97.02,3.5,2.33,0.05,98
South,Delhi,CCMUD,2023-02,281,543,51.75,70.7,45.61,0.91,143
North,Bihar,VL001,2023-02,361,801,45.07,47.79,45.04,0.9,238
Pune Zone,West Bengal,TL009,2023-07,65,127,51.18,25.75,19.97,0.4,50
North,Odisha,TL009,2023-09,93,421,22.09,36.14,31.39,0.63,62
MMZO Zone,Jharkhand,CHOME,2023-04,60,163,36.81,45.19,23.17,0.46,33
Pune Zone,Punjab,CCSUV,2023-08,169,258,65.5,36.21,19.53,0.39,76
Hyderabad,Bihar,UKKGL,2023-04,432,503,85.88,54.75,49.37,0.99,199
Central,Jharkhand,TL009,2023-05,140,542,25.83,81.58,62.25,1.25,126
West,Haryana,CCGEN,2023-12,448,491,91.24,59.79,52.22,1.04,199
East,West Bengal,LADEP,2023-11,397,847,46.87,82.56,75.65,1.51,397
MMZO Zone,Odisha,TL009,2023-05,69,284,24.3,38.5,38.1,0.76,28
West,Jharkhand,UMGLP,2023-12,309,346,89.31,84.39,45.28,0.91,55
Central,Odisha,LADEP,2023-05,119,397,29.97,28.34,17.8,0.36,41
Central,West Bengal,TLP12,2023-05,452,749,60.35,33.02,29.0,0.58,13
MMZO Zone,Bihar,CCMUD,2023-02,364,569,63.97,79.77,78.66,1.57,326
East,Bihar,CHOME,2023-09,50,294,17.01,79.76,42.04,0.84,2
West,Jharkhand,UKKGL,2023-09,9,14,64.29,13.25,12.88,0.26,7
East,Odisha,UKKGL,2023-12,454,499,90.98,64.16,63.38,1.27,425
Pune Zone,Punjab,CHOME,2023-04,428,471,90.87,79.15,47.31,0.95,84
West,Odisha,UMGLP,2023-02,98,315,31.11,82.78,54.39,1.09,74
MMZO Zone,Rajasthan,CHOME,2023-12,231,447,51.68,35.0,31.0,0.62,95
South,Punjab,TLP12,2023-08,27,404,6.68,34.95,18.9,0.38,23
North,Punjab,ODGEN,2023-07,334,540,61.85,15.2,12.48,0.25,203
East,Delhi,ODGEN,2023-09,14,138,10.14,89.81,61.9,1.24,14
Hyderabad,Odisha,UKKGL,2023-03,403,669,60.24,93.66,70.63,1.41,96
Hyderabad,Unknown,CHOME,2023-11,225,376,59.84,94.78,72.62,1.45,180
Pune Zone,Rajasthan,CCGEN,2023-07,431,505,85.35,36.92,32.72,0.65,325
Hyderabad,Odisha,ODGEN,2023-05,376,656,57.32,41.58,30.28,0.61,297
North,Odisha,CHOME,2023-08,375,581,64.54,31.65,17.07,0.34,219
East,Odisha,CCSUV,2023-06,493,496,99.4,38.02,32.99,0.66,82
North,Rajasthan,UMGLP,2023-01,14,171,8.19,72.96,42.76,0.86,12
MMZO Zone,Rajasthan,LADEP,2023-07,57,199,28.64,70.1,62.33,1.25,33
MMZO Zone,Haryana,ODGEN,2023-06,286,612,46.73,68.49,53.25,1.06,253
Pune Zone,Haryana,CCSUV,2023-12,320,355,90.14,96.92,82.77,1.66,312
North,Rajasthan,UKKGL,2023-04,486,606,80.2,78.5,64.39,1.29,281
MMZO Zone,Haryana,CCSUV,2023-10,226,723,31.26,82.68,77.02,1.54,11
South,Delhi,CCGEN,2023-01,98,458,21.4,22.27,15.11,0.3,1
MMZO Zone,Rajasthan,CHOME,2023-08,278,411,67.64,29.02,21.32,0.43,138
Pune Zone,Haryana,TLU03,2023-08,4,407,0.98,19.66,12.5,0.25,2
East,Unknown,CCMUD,2023-08,234,454,51.54,53.69,33.1,0.66,34
Central,Bihar,LADEP,2023-06,446,500,89.2,98.82,80.22,1.6,235
Central,West Bengal,CHOME,2023-04,154,354,43.5,12.14,10.93,0.22,71
East,Odisha,VL001,2023-01,365,548,66.61,77.38,45.36,0.91,208
